Field1_links,nb_piece,nb_bains,superficie,adresse
https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cite-magistra-5152686,3,3,145.0,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-cite-biagui-5152588,4,3,135.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-virage-5147342,4,3,170.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-et-lumineux-a-mermoz-5166843,3,2,110.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mermoz-sacre-coeur-5152561,3,2,150.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-a-mermoz-5147054,4,3,150.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-studio-a-fass-5146908,2,1,150.0,"Fass, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-a-fass-5146913,3,2,150.0,"Fass, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-studio-a-medina-5163657,2,2,150.0,"Dakar Plateau, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-a-dakar-plateau-5163641,4,2,150.0,Appartements
https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-a-dakar-plateau-5163634,4,3,150.0,"Dakar Plateau, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-ouest-foire-5174050,4,3,130.0,"Ouest Foire, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-studio-ngor-5168261,2,1,100.0,"Ngor, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-almadies-5168244,3,2,120.0,"Ngor, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-mermoz-5156223,3,2,150.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-mermoz-5151907,3,3,140.0,"Point E, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-studio-parcelles-assainiesbrt-5151905,2,1,150.0,"Parcelle Assainies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-cpi-vdn-5136169,3,2,150.0,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-parcelles-assainies-brt-5151891,3,2,150.0,"Parcelle Assainies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-fann-corniche-5166009,4,4,150.0,"Fann, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-3pieces-bourguiba-5166008,3,2,119.0,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-point-e-5153085,4,2,150.0,"Point E, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-5pieces-point-e-5153077,5,4,150.0,"Point E, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-fass-5161381,3,3,150.0,"Fass, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-5pieces-dakar-lavenue-cheikh-anta-diop-5148030,5,4,150.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-yoff-djily-mbaye-5146070,4,2,120.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-yoff-5146055,4,1,100.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-mermoz-sacre-coeur-5171817,4,3,130.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-sipres-mermoz-5149856,4,2,150.0,"Sipres, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-fann-mermoz-5155834,4,3,150.0,"Fann, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-duplex-4pieces-fann-residence-5149826,4,2,150.0,"Fann, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-studio-2pieces-ngor-extension-5161283,2,2,128.0,"Ngor, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-yoff-ocean-5145986,4,3,160.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-yoff-ocean-5161287,4,3,134.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-3pieces-sicap-foire-5155804,3,2,130.0,"Sicap foire, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-2pieces-hlm-5151558,2,1,150.0,"HLM, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-2pieces-yoff-5151553,2,1,150.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-studio-a-medina-5149701,2,2,150.0,"Medina, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-a-medina-5149723,3,2,150.0,"Medina, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-studio-a-medina-5149684,2,2,150.0,"Medina, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-studio-a-medina-5149673,2,2,150.0,"Medina, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-3pieces-ouest-foire-5151524,3,2,150.0,"Ouest Foire, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-almadies-5155667,4,3,150.0,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-dieuppeul-derkle-5151516,3,2,150.0,"Dieuppeul-Derklé, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/vente-appartements-3pieces-yoff-5151508,3,2,150.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-f5-haut-standing-a-louer-a-la-cite-keur-gorgui-5129821,5,3,150.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-fass-5142523,3,2,150.0,"Fass, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-studio-a-fass-5142531,2,1,150.0,"Fass, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-studio-separe-a-liberte-6-extension-5151393,2,2,150.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-mermoz-5129453,3,3,140.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-liberte-6-5135088,4,2,150.0,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-residence-kalia-zone-de-captage-5128748,4,2,150.0,Appartements
https://sn.coinafrique.com/annonce/appartements/locatiobn-appartement-3pieces-medina-5136706,3,2,150.0,"Medina, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-fass-5136663,3,2,150.0,"Fass, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-mermoz-5136796,3,2,120.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-a-mermoz-5130450,3,3,150.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-cite-biagui-5145630,3,2,131.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-cite-biagui-5145624,3,2,130.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mermoz-sacre-coeur-5165503,3,2,150.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-dakar-plateau-blaise-diagne-5155346,3,2,150.0,"Dakar Plateau, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-5pieces-damel-5176301,5,3,120.0,Appartements
https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-ouakam-5151115,3,3,140.0,"Ouakam, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-point-e-5160679,4,3,150.0,"Point E, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cite-mourtada-2-5145229,4,2,180.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-sacre-cur-5176082,4,1,150.0,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-zac-mbao-5175804,4,2,110.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-studio-ouest-foire-5175673,2,1,150.0,Appartements
https://sn.coinafrique.com/annonce/appartements/location-appartements-meuble-03-pieces-senegal-5175571,3,3,150.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-2pieces-mermoz-sacre-coeur-5150203,2,2,100.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-5pieces-cite-biagui-5149808,5,4,140.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-5126590,4,2,150.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-avenue-cheikh-anta-diop-5126406,4,3,150.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-250-cite-biagui-5159343,3,2,130.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-f4-centre-ville-centre-ville-rue-djily-mbaye-5159295,4,3,150.0,"Dakar Plateau, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-yoff-ocean-5164259,4,2,134.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-fann-mermoz-5143656,4,3,150.0,"Fann, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/vente-appartements-4-pieces-a-la-cite-mbackiyou-faye-5149279,4,4,140.0,Appartements
https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-mariste-5174577,3,2,100.0,"Mariste, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-2-pieces-ouakam-5163402,2,1,150.0,"Ouakam, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/vente-appartements-3pieces-ngor-5142909,3,3,178.0,"Ngor, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-3pieces-ngor-5142891,3,3,150.0,"Ngor, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-almadies-5173823,2,2,150.0,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-almadies-5148274,4,1,110.0,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-5pieces-cite-biagui-5173713,5,4,140.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-studio-cite-biagui-5173711,2,2,128.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-yoff-ocean-5173704,4,2,134.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-3pieces-cite-biagui-5157777,3,3,130.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-yoff-5148125,4,3,140.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-yoff-5148125,4,3,140.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-sacre-coeur-5162934,4,3,165.0,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-mariste-5164612,4,3,167.0,"Mariste, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-sacre-coeur-2-5173544,3,2,130.0,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-a-dieuppeul-derkle-5162733,4,4,170.0,"Dieuppeul-Derklé, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-yoff-aeroport-5157549,4,3,110.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-yoff-aeroport-5157538,4,3,140.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-studio-a-medina-brt-centenaire-5124802,2,2,150.0,"Medina, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-zac-mbao-rond-point-sipress-5127061,3,3,150.0,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-point-e-5131430,4,2,150.0,"Point E, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-ouest-foire-5136635,4,1,150.0,"Ouest Foire, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-2-chambres-almadie-2-sedima-5125182,3,2,150.0,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartements-2pieces-ouest-foire-5136846,2,1,150.0,"Ouest Foire, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-patte-doie-5134722,3,2,150.0,"Patte d'oie, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-point-e-5138077,4,3,150.0,"Point E, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/vente-appartements-2pieces-ouest-foire-5136629,2,1,150.0,"Ouest Foire, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-zac-mbao-5127032,4,3,150.0,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/appartements/location-studio-zac-mbao-sortie-9-peage-5127036,2,1,150.0,"Mbao, Dakar, Sénégal"
