Field1_links,image_url,superficie,prix,adresse
https://sn.coinafrique.com/annonce/terrains/vente-terrain-150-m2-diamniadio-4817195,https://images.coinafrique.com/thumb_4817195_uploaded_image1_1719685955.jpg,150 ,6 000 000 CFA,"Diamniadio, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-a-commercial-grand-mbao-4777135,https://images.coinafrique.com/thumb_4777135_uploaded_image1_1717429274.jpg,500 m2,20 000 000 CFA,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-bail-zac-mbao-4815887,https://images.coinafrique.com/thumb_4815887_uploaded_image1_1719606500.jpg,150 m2,25 000 000 CFA,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-bambilor-4815828,https://images.coinafrique.com/thumb_4815828_uploaded_image1_1719602903.jpg,150 ,4 000 000 CFA,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-180m-dakar-4815324,https://images.coinafrique.com/thumb_4815324_uploaded_image1_1719579692.jpg,180 ,4 500 000 CFA,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/parcelle-thies-4814978,https://images.coinafrique.com/thumb_4814978_uploaded_image1_1719568487.jpg,,3 500 000 CFA,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150-ndayane-4813782,https://images.coinafrique.com/thumb_4813782_uploaded_image1_1719500702.jpg,150 ,3 000 000 CFA,"Niaga, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-400m-cite-des-aigrette-4813559,https://images.coinafrique.com/thumb_4813559_uploaded_image1_1719492987.jpg,400 m2,70 000 000 CFA,"Saly, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-296-m2-petit-mbao-4813327,https://images.coinafrique.com/thumb_4813327_uploaded_image1_1719483987.jpg,296 ,49 000 000 CFA,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150-m-dakar-4812470,https://images.coinafrique.com/thumb_4812470_uploaded_image1_1719430347.jpg,150 ,14 000 000 CFA,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-143-m2-rufisque-4812456,https://images.coinafrique.com/thumb_4812456_uploaded_image1_1719429579.jpg,143 ,30 000 000 CFA,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-225m-mamelles-4770793,https://images.coinafrique.com/thumb_4770793_uploaded_image1_1717089215.jpg,225 ,170 000 000 CFA,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-150-keur-massar-4812146,https://images.coinafrique.com/thumb_4812146_uploaded_image1_1719417077.jpg,150 ,8 000 000 CFA,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-200-m2-ndiass-4811842,https://images.coinafrique.com/thumb_4811842_uploaded_image1_1719407579.jpg,200 ,2 000 000 CFA,"Ndiass, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-30-lac-rose-4810468,https://images.coinafrique.com/thumb_4810468_uploaded_image1_1719339322.jpg,30 ,5 500 000 CFA,"Lac rose, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-230m-dakar-4772275,https://images.coinafrique.com/thumb_4772275_uploaded_image1_1717161118.jpg,230 ,18 000 000 CFA,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-180-thies-4809920,https://images.coinafrique.com/thumb_4809920_uploaded_image1_1719321869.jpg,180 ,4 500 000 CFA,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-225-m2-thies-4808412,https://images.coinafrique.com/thumb_4808412_uploaded_image1_1719243349.jpg,225 ,7 500 000 CFA,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-bien-place-au-bord-de-la-vdn-3-malika-plage-4807507,https://images.coinafrique.com/thumb_4807507_uploaded_image1_1719211246.jpg,150 ,8 000 000 CFA,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-vdn-3-malika-plage-4807504,https://images.coinafrique.com/thumb_4807504_uploaded_image2_1719211070.jpeg,150 ,7 500 000 CFA,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-200-ha-diass-4806838,https://images.coinafrique.com/thumb_4806838_uploaded_image1_1719157997.jpg,2000000 m2,40 000 CFA,"Ndiass, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-3-ha-diamniadio-4806230,https://images.coinafrique.com/thumb_4806230_uploaded_image1_1719099687.jpg,30000 m2,100 000 000 CFA,"Diamniadio, Sénégal"
