Field1_links,nb_piece,nb_bains,superficie,adresse
https://sn.coinafrique.com/annonce/villas/vente-villa-08-pieces-pikine-4631432,3,6,150 ,"Pikine, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-ndayane-4631296,,,,"Grand Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-guediawaye-4631229,6,12,240 ,"Guediawaye, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-duplex-4-pieces-mbao-4631228,3,6,150 ,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-saly-4631011,9,18,300 ,"Saly, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-sacre-coeur-2-4585531,3,6,150 m2,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-sipres-4585038,,,,"Sipres, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-diamniadio-4630118,6,12,,"Diamniadio, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-fenetre-mermoz-4585525,21,,782 ,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-fenetre-mermoz-4585524,21,42,782 ,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-maison-keur-mbaye-fall-4629654,3,6,150 m2,"HLM, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-07-pieces-zac-mbao-4629597,6,12,216 ,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-4629206,6,12,200 m2,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-duplex-5-pieces-mamelles-cite-touba-renaissance-4628529,3,6,150 m2,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-diamniadio-4628441,3,6,150 m2,"Diamniadio, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-maison-mbour-4627455,9,,300 m2,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-dakar-4627005,3,6,150 ,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-saly-4626887,9,18,300 m2,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-8-pieces-fann-residence-4578808,39,78,1300 ,"Fann, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-dakar-4625852,6,12,250 m2,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-15-pieces-piscine-et-jardin-dakar-4582066,6,12,,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-meublee-pieces-saly-4624598,,,,"Saly, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-maison-6-pieces-petit-mbao-4623755,,,,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-cite-sipres-5-4623462,6,,200 m2,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-gandigal-et-saly-4622025,18,,600 m2,"Saly, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-12-pieces-sacre-coeur-4621571,6,12,,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-05-pieces-almadies-4621038,21,42,700 m2,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-mamelles-cite-cheikh-amar-4620782,6,12,200 ,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-keur-massar-sotrac-4620209,3,6,150 m2,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-dakar-4575917,3,6,150 ,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-nord-foire-4571825,9,18,300 ,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-inachevee-4-pieces-keur-massar-4571681,3,6,150 ,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-fann-mermoz-4618743,6,12,,"Grand Dakar, Dakar, Sénégal"
