Field1_links,nb_piece,nb_bains,superficie,adresse
https://sn.coinafrique.com/annonce/villas/vente-villa-08-pieces-pikine-4631432,3.0,6.0,150.0,"Pikine, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-ndayane-4631296,6.0,12.0,150.0,"Grand Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-guediawaye-4631229,6.0,12.0,240.0,"Guediawaye, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-duplex-4-pieces-mbao-4631228,3.0,6.0,150.0,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-sacre-coeur-2-4585531,3.0,6.0,150.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-sipres-4585038,6.0,12.0,150.0,"Sipres, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-diamniadio-4630118,6.0,12.0,150.0,"Diamniadio, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-maison-keur-mbaye-fall-4629654,3.0,6.0,150.0,"HLM, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-07-pieces-zac-mbao-4629597,6.0,12.0,216.0,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-4629206,6.0,12.0,200.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-duplex-5-pieces-mamelles-cite-touba-renaissance-4628529,3.0,6.0,150.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-diamniadio-4628441,3.0,6.0,150.0,"Diamniadio, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-dakar-4627005,3.0,6.0,150.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-dakar-4625852,6.0,12.0,250.0,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-15-pieces-piscine-et-jardin-dakar-4582066,6.0,12.0,150.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-meublee-pieces-saly-4624598,6.0,12.0,150.0,"Saly, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-maison-6-pieces-petit-mbao-4623755,6.0,12.0,150.0,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-cite-sipres-5-4623462,6.0,12.0,200.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-12-pieces-sacre-coeur-4621571,6.0,12.0,150.0,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-mamelles-cite-cheikh-amar-4620782,6.0,12.0,200.0,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-keur-massar-sotrac-4620209,3.0,6.0,150.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-dakar-4575917,3.0,6.0,150.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-inachevee-4-pieces-keur-massar-4571681,3.0,6.0,150.0,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-fann-mermoz-4618743,6.0,12.0,150.0,"Grand Dakar, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-sicap-karack-4571445,6.0,12.0,230.0,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-11-pieces-ouest-foire-4618419,3.0,6.0,180.0,"Ouest Foire, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-mbao-4571206,6.0,12.0,200.0,"Mbao, Dakar, Sénégal"
